stop_id,stop_name,stop_lon,stop_lat
shp_10-0-0,stop shp_10-0-0,32.579623028109985,15.55714469446737
shp_10-0-1,stop shp_10-0-1,32.52162444866309,15.593173581806584
shp_100-0-0,stop shp_100-0-0,32.4855389132411,15.723607134796104
shp_100-0-1,stop shp_100-0-1,32.46686794147601,15.65834226861558
shp_102-0-0,stop shp_102-0-0,32.46684720415513,15.65825412639682
shp_102-0-1,stop shp_102-0-1,32.473656149969365,15.725397721079156
shp_11-0-0,stop shp_11-0-0,32.595926234710554,15.55082499576448
shp_11-0-1,stop shp_11-0-1,32.52162444866309,15.593173581806584
shp_110-0-0,stop shp_110-0-0,32.526542751856034,15.77622841503099
shp_110-0-1,stop shp_110-0-1,32.477474510193865,15.646601359167637
shp_112-0-0,stop shp_112-0-0,32.525740944231124,15.757826061600795
shp_112-0-1,stop shp_112-0-1,32.477474510193865,15.646601359167637
shp_114-0-0,stop shp_114-0-0,32.51777203079802,15.726450088567736
shp_114-0-1,stop shp_114-0-1,32.477474510193865,15.646601359167637
shp_116-0-0,stop shp_116-0-0,32.51777208230034,15.713246888466772
shp_116-0-1,stop shp_116-0-1,32.477474510193865,15.646601359167637
shp_118-0-0,stop shp_118-0-0,32.419620506685575,15.646500249394398
shp_118-0-1,stop shp_118-0-1,32.476085238594806,15.725114577302651
shp_120-0-0,stop shp_120-0-0,32.466867528538984,15.658342357913217
shp_120-0-1,stop shp_120-0-1,32.43249239857148,15.798982412667256
shp_128-0-0,stop shp_128-0-0,32.477099315709296,15.64639324678784
shp_128-0-1,stop shp_128-0-1,32.51663765283807,15.723477911670832
shp_129-0-0,stop shp_129-0-0,32.52035235436935,15.594368468907318
shp_129-0-1,stop shp_129-0-1,32.52303784381442,15.744988997298917
shp_134-0-0,stop shp_134-0-0,32.483660916318605,15.647610699211894
shp_134-0-1,stop shp_134-0-1,32.52076018694854,15.88973865233958
shp_136-0-0,stop shp_136-0-0,32.48333530900912,15.64788100544194
shp_136-0-1,stop shp_136-0-1,32.52808195883364,16.093373981151014
shp_138-0-0,stop shp_138-0-0,32.483331729669054,15.647880817765529
shp_138-0-1,stop shp_138-0-1,32.53725885598226,15.976798990519036
shp_14-0-0,stop shp_14-0-0,32.50601435221078,15.624059497870157
shp_14-0-1,stop shp_14-0-1,32.52162444866309,15.593173581806584
shp_142-0-0,stop shp_142-0-0,32.4815471159426,15.64808113829173
shp_142-0-1,stop shp_142-0-1,32.473656149969365,15.725397721079156
shp_144-0-0,stop shp_144-0-0,32.48409999609196,15.64796492512542
shp_144-0-1,stop shp_144-0-1,32.527678780757945,15.911696854130346
shp_155-0-0,stop shp_155-0-0,32.45921706244576,15.746687515117934
shp_155-0-1,stop shp_155-0-1,32.47364634736157,15.725307818419092
shp_16-0-0,stop shp_16-0-0,32.53016273990066,15.563559133658543
shp_16-0-1,stop shp_16-0-1,32.52162444866309,15.593173581806584
shp_161-0-0,stop shp_161-0-0,32.47365682258034,15.725397648951816
shp_161-0-1,stop shp_161-0-1,32.43249219577068,15.798983299024806
shp_163-0-0,stop shp_163-0-0,32.47365682258034,15.725397648951816
shp_163-0-1,stop shp_163-0-1,32.39109624237036,15.787014986136803
shp_166-0-0,stop shp_166-0-0,32.46315549372203,15.741885092783372
shp_166-0-1,stop shp_166-0-1,32.47359241231243,15.725397585551551
shp_167-0-0,stop shp_167-0-0,32.48491169939794,15.766465110057506
shp_167-0-1,stop shp_167-0-1,32.476367583554456,15.70441466975164
shp_170-0-0,stop shp_170-0-0,32.391115000323694,15.786926428412114
shp_170-0-1,stop shp_170-0-1,32.43249219577068,15.798983299024806
shp_187-0-0,stop shp_187-0-0,32.483617953959886,15.647946016741075
shp_187-0-1,stop shp_187-0-1,32.5023915256964,15.690404688866652
shp_188-0-0,stop shp_188-0-0,32.48530108233011,15.729977009300017
shp_188-0-1,stop shp_188-0-1,32.483326691997,15.647971022665828
shp_19-0-0,stop shp_19-0-0,32.52612100634932,15.567661673496607
shp_19-0-1,stop shp_19-0-1,32.543667932174806,15.520865629233606
shp_198-0-0,stop shp_198-0-0,32.46598701703414,15.654217873737894
shp_198-0-1,stop shp_198-0-1,32.42694919088545,15.54706359310395
shp_20-0-0,stop shp_20-0-0,32.56837651842812,15.533678579881078
shp_20-0-1,stop shp_20-0-1,32.55807065743999,15.6011793904254
shp_200-0-0,stop shp_200-0-0,32.42344985538527,15.543478735865026
shp_200-0-1,stop shp_200-0-1,32.455256034529164,15.58419735865212
shp_202-0-0,stop shp_202-0-0,32.47775237380248,15.646097171559047
shp_202-0-1,stop shp_202-0-1,32.45525941683343,15.584419519006993
shp_204-0-0,stop shp_204-0-0,32.47775237380248,15.646097171559047
shp_206-0-0,stop shp_206-0-0,32.47775237380248,15.646097171559047
shp_206-0-1,stop shp_206-0-1,32.42694919088545,15.54706359310395
shp_212-0-0,stop shp_212-0-0,32.52050698046604,15.59505746958437
shp_214-0-0,stop shp_214-0-0,32.52050698046604,15.59505746958437
shp_214-0-1,stop shp_214-0-1,32.455627663414795,15.584928803997151
shp_216-0-0,stop shp_216-0-0,32.52050698046604,15.59505746958437
shp_216-0-1,stop shp_216-0-1,32.45020380187133,15.587146050660388
shp_222-0-0,stop shp_222-0-0,32.46598701703414,15.654217873737894
shp_222-0-1,stop shp_222-0-1,32.4547559149534,15.583533734921522
shp_228-0-0,stop shp_228-0-0,32.477099315709296,15.64639324678784
shp_228-0-1,stop shp_228-0-1,32.45915963166823,15.577371737226963
shp_23-0-0,stop shp_23-0-0,32.4770952826196,15.646395444841902
